Date,"ï»¿""Symbol""",Series,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
2016-05-19,BAJAJFINSV,EQ,"1,859.05","1,860.00","1,879.00","1,842.10","1,842.25","1,853.45","1,863.14",32240,60067665.75,3635,19128.0,59.33
2016-05-20,BAJAJFINSV,EQ,"1,853.45","1,854.00","1,871.00","1,790.00","1,805.55","1,804.80","1,823.34",48472,88381022.0,5485,27246.0,56.21
2016-05-23,BAJAJFINSV,EQ,"1,804.80","1,823.00","1,855.95","1,794.00","1,820.00","1,806.15","1,830.26",38996,71372824.15,3646,25674.0,65.84
2016-05-24,BAJAJFINSV,EQ,"1,806.15","1,821.65","1,834.00","1,725.55","1,759.95","1,762.25","1,776.48",95703,170014333.5,11658,49068.0,51.27
2016-05-25,BAJAJFINSV,EQ,"1,762.25","1,784.95","1,815.00","1,763.00","1,785.00","1,789.35","1,793.95",102265,183458000.55,14061,65558.0,64.11
2016-05-26,BAJAJFINSV,EQ,"1,789.35","1,798.00","1,820.00","1,785.00","1,795.00","1,792.15","1,801.82",61945,111613761.85,8304,31185.0,50.34
2016-05-27,BAJAJFINSV,EQ,"1,792.15","1,799.90","1,853.90","1,790.05","1,837.10","1,835.70","1,810.66",206841,374518867.25,10803,161686.0,78.17
2016-05-30,BAJAJFINSV,EQ,"1,835.70","1,838.00","1,864.85","1,828.25","1,840.00","1,839.15","1,841.34",51768,95322461.35,5105,38420.0,74.22
2016-05-31,BAJAJFINSV,EQ,"1,839.15","1,855.00","1,855.00","1,798.70","1,816.60","1,820.65","1,824.06",42522,77562522.95,6626,25085.0,58.99
2016-06-01,BAJAJFINSV,EQ,"1,820.65","1,835.95","1,839.00","1,774.05","1,774.05","1,798.55","1,806.16",171646,310020096.75,8429,133118.0,77.55
2016-06-02,BAJAJFINSV,EQ,"1,798.55","1,804.90","1,867.90","1,791.35","1,859.95","1,851.40","1,839.38",185707,341586636.35,10055,150983.0,81.3
2016-06-03,BAJAJFINSV,EQ,"1,851.40","1,870.00","1,920.95","1,845.00","1,860.00","1,855.80","1,892.82",169990,321759703.0,17525,123885.0,72.88
2016-06-06,BAJAJFINSV,EQ,"1,855.80","1,855.00","1,892.00","1,854.95","1,865.00","1,866.00","1,871.12",48081,89965421.45,3829,29786.0,61.95
2016-06-07,BAJAJFINSV,EQ,"1,866.00","1,883.00","1,884.00","1,858.00","1,878.70","1,876.75","1,872.73",62687,117395848.85,3208,48753.0,77.77
2016-06-08,BAJAJFINSV,EQ,"1,876.75","1,877.00","1,902.90","1,850.55","1,859.85","1,860.20","1,866.38",57478,107275955.5,2526,48533.0,84.44
2016-06-09,BAJAJFINSV,EQ,"1,860.20","1,862.30","1,877.00","1,831.50","1,838.00","1,840.35","1,849.98",50087,92660041.0,3315,37919.0,75.71
2016-06-10,BAJAJFINSV,EQ,"1,840.35","1,850.00","1,850.00","1,800.15","1,809.70","1,812.15","1,825.65",78984,144197029.9,12425,66441.0,84.12
2016-06-13,BAJAJFINSV,EQ,"1,812.15","1,810.00","1,810.00","1,766.00","1,768.15","1,771.85","1,776.41",79866,141875013.6,13389,53687.0,67.22
2016-06-14,BAJAJFINSV,EQ,"1,771.85","1,775.00","1,897.00","1,762.10","1,878.45","1,873.90","1,838.38",250086,459753036.25,21270,135371.0,54.13
2016-06-15,BAJAJFINSV,EQ,"1,873.90","1,887.95","1,952.00","1,879.95","1,945.15","1,946.90","1,926.80",306570,590697828.3,22761,165207.0,53.89
2016-06-16,BAJAJFINSV,EQ,"1,946.90","1,948.95","2,149.60","1,908.10","2,015.00","2,043.95","2,049.03",619399,1269169142.7,31112,311654.0,50.32
2016-06-17,BAJAJFINSV,EQ,"2,043.95","2,065.00","2,099.90","2,022.00","2,047.20","2,056.15","2,062.71",183292,378078695.4,11281,101553.0,55.41
2016-06-20,BAJAJFINSV,EQ,"2,056.15","2,037.65","2,059.95","1,994.00","2,000.00","2,007.85","2,023.94",126667,256366922.75,10456,81546.0,64.38
2016-06-21,BAJAJFINSV,EQ,"2,007.85","2,012.00","2,033.40","2,006.35","2,015.00","2,013.05","2,019.55",41164,83132594.8,3871,20713.0,50.32
2016-06-22,BAJAJFINSV,EQ,"2,013.05","2,018.00","2,050.00","2,005.00","2,020.00","2,025.60","2,022.50",57540,116374929.55,4881,36088.0,62.72
2016-06-23,BAJAJFINSV,EQ,"2,025.60","2,024.95","2,024.95","1,982.20","1,999.00","2,002.90","2,001.67",51463,103012109.35,6627,28896.0,56.15
2016-06-24,BAJAJFINSV,EQ,"2,002.90","1,978.00","2,099.00","1,919.00","2,070.00","2,077.65","2,010.98",170471,342813076.85,14873,84710.0,49.69
2016-06-27,BAJAJFINSV,EQ,"2,077.65","2,091.00","2,244.00","2,090.00","2,166.00","2,181.90","2,181.96",523701,1142693783.7,23820,272859.0,52.1
