Date,"ï»¿""Symbol""",Series,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
2016-05-19,JPPOWER,EQ,4.25,4.25,4.3,4.2,4.25,4.25,4.24,717274,3043161.8,8430,492094.0,68.61
2016-05-20,JPPOWER,EQ,4.25,4.3,4.35,4.15,4.2,4.2,4.24,1281157,5434017.2,568,606073.0,47.31
2016-05-23,JPPOWER,EQ,4.2,4.25,4.25,4.05,4.15,4.15,4.15,1014042,4204319.05,9826,450880.0,44.46
2016-05-24,JPPOWER,EQ,4.15,4.15,4.2,3.95,4.05,4.0,4.05,2081499,8422125.7,6543,1114001.0,53.52
2016-05-25,JPPOWER,EQ,4.0,4.05,4.1,4.0,4.05,4.05,4.04,756070,3056014.0,3652,469011.0,62.03
2016-05-26,JPPOWER,EQ,4.05,4.1,4.1,4.0,4.05,4.05,4.04,1038186,4197414.05,6386,588301.0,56.67
2016-05-27,JPPOWER,EQ,4.05,4.05,4.25,4.05,4.2,4.15,4.14,851260,3521584.35,4255,477256.0,56.06
2016-05-30,JPPOWER,EQ,4.15,4.1,4.2,3.95,4.05,4.0,4.02,1338093,5381564.85,1418,816053.0,60.99
2016-05-31,JPPOWER,EQ,4.0,4.0,4.0,3.8,3.85,3.85,3.86,1865964,7209155.1,4233,960913.0,51.5
2016-06-01,JPPOWER,EQ,3.85,3.9,3.95,3.7,3.8,3.75,3.82,2438169,9320741.6,5677,1181787.0,48.47
2016-06-02,JPPOWER,EQ,3.75,3.8,3.8,3.65,3.75,3.7,3.72,1725998,6414514.05,4347,648603.0,37.58
2016-06-03,JPPOWER,EQ,3.7,3.75,3.85,3.65,3.85,3.8,3.74,1483699,5555309.5,3912,687884.0,46.36
2016-06-06,JPPOWER,EQ,3.8,3.8,3.9,3.75,3.85,3.8,3.8,1313295,4995864.7,4347,637742.0,48.56
2016-06-07,JPPOWER,EQ,3.8,3.85,3.85,3.75,3.8,3.75,3.78,598832,2265409.0,519,380983.0,63.62
2016-06-08,JPPOWER,EQ,3.75,3.8,4.1,3.7,4.05,4.05,3.95,3181929,12580692.0,1319,1142051.0,35.89
2016-06-09,JPPOWER,EQ,4.05,4.05,4.1,3.9,4.05,4.05,4.01,1617129,6487220.45,948,508035.0,31.42
2016-06-10,JPPOWER,EQ,4.05,4.05,4.75,3.95,4.6,4.45,4.51,8980836,40536785.9,7480,2460116.0,27.39
2016-06-13,JPPOWER,EQ,4.45,4.55,4.8,4.45,4.7,4.7,4.61,3293453,15183625.15,3777,1541538.0,46.81
2016-06-14,JPPOWER,EQ,4.7,4.7,5.2,4.7,5.0,5.05,5.03,6640535,33432206.75,5753,2524397.0,38.01
2016-06-15,JPPOWER,EQ,5.05,5.1,5.35,4.9,5.05,5.05,5.14,5220466,26807510.35,3124,2710440.0,51.92
2016-06-16,JPPOWER,EQ,5.05,5.05,5.2,4.9,5.05,5.0,5.05,2417107,12204099.55,1890,1216740.0,50.34
2016-06-17,JPPOWER,EQ,5.0,5.1,5.2,5.0,5.15,5.15,5.14,3713750,19086965.2,1990,1834643.0,49.4
2016-06-20,JPPOWER,EQ,5.15,5.1,5.15,5.05,5.05,5.05,5.11,1371277,7005554.4,882,810960.0,59.14
2016-06-21,JPPOWER,EQ,5.05,5.05,5.1,4.85,5.0,5.05,4.96,2961368,14687254.1,4148,1117073.0,37.72
2016-06-22,JPPOWER,EQ,5.05,5.05,5.05,4.9,4.9,4.9,4.97,666904,3312394.8,735,395310.0,59.28
2016-06-23,JPPOWER,EQ,4.9,4.85,5.0,4.8,4.85,4.85,4.85,806197,3908651.8,805,459548.0,57.0
2016-06-24,JPPOWER,EQ,4.85,4.7,4.75,4.4,4.7,4.7,4.6,1966129,9051537.4,1765,1113559.0,56.64
2016-06-27,JPPOWER,EQ,4.7,4.75,4.8,4.4,4.55,4.55,4.56,2968375,13521896.25,2449,1639990.0,55.25
2016-06-28,JPPOWER,EQ,4.55,4.55,4.8,4.55,4.75,4.7,4.69,1505321,7062928.6,1218,802086.0,53.28
