Date,"ï»¿""Symbol""",Series,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
2016-05-19,ABBOTINDIA,EQ,"4,684.20","4,720.00","4,720.00","4,651.00","4,655.00","4,659.20","4,681.00",438,2050279.8,133,300.0,68.49
2016-05-20,ABBOTINDIA,EQ,"4,659.20","4,660.00","4,715.00","4,615.00","4,705.00","4,685.85","4,678.70",557,2606034.15,191,380.0,68.22
2016-05-23,ABBOTINDIA,EQ,"4,685.85","4,651.05","4,717.00","4,502.00","4,609.00","4,587.35","4,569.77",4210,19238712.3,1187,2360.0,56.06
2016-05-24,ABBOTINDIA,EQ,"4,587.35","4,590.00","4,590.00","4,480.00","4,481.20","4,498.20","4,520.49",3100,14013521.25,547,2461.0,79.39
2016-05-25,ABBOTINDIA,EQ,"4,498.20","4,498.00","4,618.15","4,444.40","4,550.10","4,554.45","4,553.04",3524,16044910.75,769,1920.0,54.48
2016-05-26,ABBOTINDIA,EQ,"4,554.45","4,557.00","4,730.00","4,557.00","4,720.00","4,703.45","4,683.73",3179,14889562.3,778,1538.0,48.38
2016-05-27,ABBOTINDIA,EQ,"4,703.45","4,703.00","4,764.00","4,639.70","4,750.00","4,751.70","4,717.64",2663,12563064.65,536,1811.0,68.01
2016-05-30,ABBOTINDIA,EQ,"4,751.70","4,751.00","4,781.75","4,644.80","4,779.00","4,756.50","4,719.02",1238,5842149.4,459,770.0,62.2
2016-05-31,ABBOTINDIA,EQ,"4,756.50","4,775.00","4,775.10","4,683.00","4,697.10","4,705.05","4,729.81",543,2568285.5,212,237.0,43.65
2016-06-01,ABBOTINDIA,EQ,"4,705.05","4,707.00","4,755.00","4,650.00","4,659.95","4,659.40","4,689.74",1214,5693345.45,303,808.0,66.56
2016-06-02,ABBOTINDIA,EQ,"4,659.40","4,659.05","4,695.70","4,608.00","4,610.10","4,616.80","4,624.74",962,4449000.85,295,629.0,65.38
2016-06-03,ABBOTINDIA,EQ,"4,616.80","4,598.00","4,610.15","4,500.00","4,512.00","4,519.60","4,540.10",4040,18341984.3,726,2203.0,54.53
2016-06-06,ABBOTINDIA,EQ,"4,519.60","4,570.00","4,570.00","4,500.00","4,527.00","4,534.95","4,528.59",907,4107429.2,197,633.0,69.79
2016-06-07,ABBOTINDIA,EQ,"4,534.95","4,500.00","4,550.00","4,480.00","4,490.00","4,509.45","4,500.95",5207,23436427.2,773,4425.0,84.98
2016-06-08,ABBOTINDIA,EQ,"4,509.45","4,510.00","4,542.55","4,482.10","4,484.00","4,496.40","4,505.86",1234,5560237.05,342,800.0,64.83
2016-06-09,ABBOTINDIA,EQ,"4,496.40","4,500.00","4,515.00","4,460.00","4,465.25","4,472.85","4,485.09",699,3135076.15,237,469.0,67.1
2016-06-10,ABBOTINDIA,EQ,"4,472.85","4,495.50","4,495.50","4,445.00","4,445.50","4,449.95","4,466.75",1746,7798949.3,339,1316.0,75.37
2016-06-13,ABBOTINDIA,EQ,"4,449.95","4,480.00","4,480.00","4,353.70","4,460.00","4,450.45","4,401.93",5134,22599508.1,890,2145.0,41.78
2016-06-14,ABBOTINDIA,EQ,"4,450.45","4,620.00","4,620.00","4,404.95","4,425.10","4,441.85","4,450.55",700,3115387.85,170,355.0,50.71
2016-06-15,ABBOTINDIA,EQ,"4,441.85","4,452.75","4,530.00","4,405.00","4,482.00","4,467.50","4,467.13",1455,6499674.85,333,773.0,53.13
2016-06-16,ABBOTINDIA,EQ,"4,467.50","4,527.00","4,527.00","4,415.00","4,440.00","4,438.25","4,454.26",554,2467658.7,184,365.0,65.88
2016-06-17,ABBOTINDIA,EQ,"4,438.25","4,438.00","4,520.00","4,388.00","4,394.90","4,392.85","4,425.63",3420,15135650.35,1017,2186.0,63.92
2016-06-20,ABBOTINDIA,EQ,"4,392.85","4,392.00","4,458.45","4,392.00","4,435.00","4,442.35","4,440.93",1461,6488194.7,383,916.0,62.7
2016-06-21,ABBOTINDIA,EQ,"4,442.35","4,461.00","4,540.00","4,420.00","4,502.00","4,511.40","4,504.10",1824,8215482.5,804,1264.0,69.3
2016-06-22,ABBOTINDIA,EQ,"4,511.40","4,511.00","4,570.00","4,480.05","4,514.00","4,532.70","4,522.39",3742,16922774.9,764,2966.0,79.26
2016-06-23,ABBOTINDIA,EQ,"4,532.70","4,532.00","4,548.00","4,430.60","4,490.00","4,494.40","4,505.50",581,2617697.4,178,388.0,66.78
2016-06-24,ABBOTINDIA,EQ,"4,494.40","4,444.00","4,509.90","4,380.00","4,500.00","4,488.55","4,440.76",1532,6803250.65,409,744.0,48.56
2016-06-27,ABBOTINDIA,EQ,"4,488.55","4,488.00","4,555.00","4,450.05","4,546.40","4,531.90","4,513.23",1296,5849152.15,231,1014.0,78.24
2016-06-28,ABBOTINDIA,EQ,"4,531.90","4,560.00","4,562.00","4,472.25","4,472.25","4,487.95","4,523.77",1262,5708998.3,267,927.0,73.45
2016-06-29,ABBOTINDIA,EQ,"4,487.95","4,491.00","4,591.65","4,490.00","4,589.00","4,580.65","4,563.97",1803,8228837.2,454,1294.0,71.77
2016-06-30,ABBOTINDIA,EQ,"4,580.65","4,600.00","4,626.00","4,535.00","4,620.00","4,616.10","4,598.25",1437,6607681.35,355,933.0,64.93
2016-07-01,ABBOTINDIA,EQ,"4,616.10","4,610.00","4,744.40","4,610.00","4,725.00","4,716.80","4,680.08",4355,20381757.35,1061,3042.0,69.85
2016-07-04,ABBOTINDIA,EQ,"4,716.80","4,734.40","4,815.00","4,701.00","4,724.00","4,745.75","4,771.21",2013,9604446.75,469,958.0,47.59
2016-07-05,ABBOTINDIA,EQ,"4,745.75","4,750.00","4,770.00","4,705.00","4,707.00","4,719.90","4,721.28",453,2138737.65,129,328.0,72.41
2016-07-07,ABBOTINDIA,EQ,"4,719.90","4,793.00","4,800.00","4,750.45","4,790.00","4,786.45","4,781.46",1848,8836146.0,344,1283.0,69.43
2016-07-08,ABBOTINDIA,EQ,"4,786.45","4,786.00","4,786.25","4,693.90","4,720.00","4,732.70","4,731.31",969,4584643.5,331,512.0,52.84
2016-07-11,ABBOTINDIA,EQ,"4,732.70","4,785.00","4,799.95","4,693.00","4,794.50","4,757.35","4,760.84",1616,7693523.2,261,1222.0,75.62
2016-07-12,ABBOTINDIA,EQ,"4,757.35","4,721.45","4,795.00","4,721.40","4,790.00","4,780.15","4,768.65",861,4105810.7,255,549.0,63.76
2016-07-13,ABBOTINDIA,EQ,"4,780.15","4,750.00","4,771.60","4,660.00","4,707.00","4,718.55","4,727.65",879,4155603.2,246,540.0,61.43
2016-07-14,ABBOTINDIA,EQ,"4,718.55","4,718.00","4,740.00","4,676.00","4,710.00","4,708.40","4,716.14",411,1938333.65,150,298.0,72.51
2016-07-15,ABBOTINDIA,EQ,"4,708.40","4,708.00","4,749.90","4,676.75","4,676.75","4,684.80","4,703.24",702,3301672.55,222,536.0,76.35
2016-07-18,ABBOTINDIA,EQ,"4,684.80","4,690.05","4,720.00","4,620.15","4,622.15","4,642.20","4,662.38",627,2923309.45,224,398.0,63.48
2016-07-19,ABBOTINDIA,EQ,"4,642.20","4,699.50","4,699.50","4,612.00","4,686.50","4,667.95","4,649.89",1673,7779259.65,603,868.0,51.88
2016-07-20,ABBOTINDIA,EQ,"4,667.95","4,694.95","4,732.00","4,661.00","4,730.00","4,713.20","4,695.76",2056,9654482.75,412,1748.0,85.02
2016-07-21,ABBOTINDIA,EQ,"4,713.20","4,713.00","4,759.00","4,670.00","4,730.00","4,732.45","4,738.11",2526,11968463.5,294,2081.0,82.38
2016-07-22,ABBOTINDIA,EQ,"4,732.45","4,740.00","4,749.95","4,657.00","4,725.00","4,714.40","4,693.36",1863,8743727.7,435,992.0,53.25
2016-07-25,ABBOTINDIA,EQ,"4,714.40","4,710.00","4,780.15","4,710.00","4,730.00","4,725.80","4,741.01",1846,8751909.35,432,1494.0,80.93
2016-07-26,ABBOTINDIA,EQ,"4,725.80","4,755.00","4,755.00","4,678.00","4,680.00","4,688.90","4,712.86",1029,4849535.95,246,861.0,83.67
2016-07-27,ABBOTINDIA,EQ,"4,688.90","4,742.90","4,742.90","4,656.05","4,658.00","4,664.35","4,683.61",823,3854610.75,190,596.0,72.42
2016-07-28,ABBOTINDIA,EQ,"4,664.35","4,700.00","4,700.00","4,615.00","4,625.00","4,626.90","4,651.50",858,3990984.5,279,626.0,72.96
2016-07-29,ABBOTINDIA,EQ,"4,626.90","4,670.00","4,687.85","4,620.00","4,680.00","4,666.55","4,654.96",834,3882235.7,260,546.0,65.47
2016-08-01,ABBOTINDIA,EQ,"4,666.55","4,666.00","4,734.95","4,666.00","4,699.00","4,691.00","4,700.58",2338,10989947.6,417,2146.0,91.79
2016-08-02,ABBOTINDIA,EQ,"4,691.00","4,698.00","4,714.85","4,659.85","4,699.90","4,693.75","4,694.97",819,3845182.65,176,694.0,84.74
2016-08-03,ABBOTINDIA,EQ,"4,693.75","4,675.00","4,710.00","4,615.00","4,625.00","4,633.60","4,646.30",842,3912185.4,245,525.0,62.35
2016-08-04,ABBOTINDIA,EQ,"4,633.60","4,680.00","4,680.00","4,612.00","4,650.00","4,649.95","4,643.16",455,2112638.65,155,333.0,73.19
2016-08-05,ABBOTINDIA,EQ,"4,649.95","4,710.00","4,738.00","4,600.00","4,729.00","4,721.30","4,673.27",1840,8598824.2,579,1297.0,70.49
2016-08-08,ABBOTINDIA,EQ,"4,721.30","4,720.95","4,800.00","4,658.00","4,800.00","4,758.75","4,715.36",7329,34558875.2,381,7043.0,96.1
2016-08-09,ABBOTINDIA,EQ,"4,758.75","4,807.00","4,819.85","4,707.00","4,720.00","4,731.55","4,774.20",1221,5829297.4,305,668.0,54.71
2016-08-10,ABBOTINDIA,EQ,"4,731.55","4,731.00","4,746.95","4,630.00","4,630.00","4,677.55","4,700.05",9451,44420180.3,371,8875.0,93.91
2016-08-11,ABBOTINDIA,EQ,"4,677.55","4,730.00","4,740.00","4,615.05","4,701.00","4,673.65","4,671.99",800,3737593.4,262,507.0,63.38
2016-08-12,ABBOTINDIA,EQ,"4,673.65","4,696.50","4,775.00","4,670.00","4,707.00","4,694.45","4,724.46",859,4058307.35,249,525.0,61.12
2016-08-16,ABBOTINDIA,EQ,"4,694.45","4,700.05","4,710.45","4,650.00","4,689.00","4,666.65","4,673.37",423,1976834.3,185,274.0,64.78
2016-08-17,ABBOTINDIA,EQ,"4,666.65","4,667.05","4,700.00","4,666.00","4,697.00","4,686.95","4,682.70",527,2467782.8,213,393.0,74.57
2016-08-18,ABBOTINDIA,EQ,"4,686.95","4,730.00","4,730.00","4,670.00","4,689.00","4,680.40","4,682.89",595,2786320.4,133,580.0,97.48
2016-08-19,ABBOTINDIA,EQ,"4,680.40","4,691.00","4,704.95","4,655.00","4,685.00","4,679.05","4,675.17",298,1393199.9,146,198.0,66.44
2016-08-22,ABBOTINDIA,EQ,"4,679.05","4,698.95","4,699.00","4,650.00","4,650.00","4,656.30","4,667.26",410,1913576.45,138,333.0,81.22
2016-08-23,ABBOTINDIA,EQ,"4,656.30","4,695.00","4,700.00","4,640.00","4,640.00","4,655.30","4,670.16",661,3086976.8,162,404.0,61.12
2016-08-24,ABBOTINDIA,EQ,"4,655.30","4,655.00","4,685.00","4,626.20","4,680.00","4,668.55","4,667.01",570,2660196.75,184,432.0,75.79
2016-08-25,ABBOTINDIA,EQ,"4,668.55","4,677.95","4,754.00","4,652.00","4,744.00","4,727.45","4,718.12",1914,9030483.95,424,1015.0,53.03
2016-08-26,ABBOTINDIA,EQ,"4,727.45","4,744.00","4,830.00","4,584.70","4,650.00","4,707.50","4,728.59",21340,100908188.35,4033,6193.0,29.02
2016-08-29,ABBOTINDIA,EQ,"4,707.50","4,754.50","4,758.95","4,701.00","4,713.00","4,722.25","4,739.74",1682,7972235.05,351,919.0,54.64
