Date,"ï»¿""Symbol""",Series,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
2025-12-15,CORONA,EQ,"1,062.00","1,470.00","1,497.80","1,413.00","1,422.20","1,438.40","1,457.97",12889175,18792039979.7,416387,4297863,33.34
2025-12-16,CORONA,EQ,"1,438.40","1,414.00","1,466.50","1,380.10","1,440.10","1,441.10","1,426.45",3127896,4461793618.2,138201,479703,15.34
2025-12-17,CORONA,EQ,"1,441.10","1,438.00","1,481.90","1,380.00","1,402.00","1,402.90","1,440.70",1210546,1744037490.9,66630,226518,18.71
2025-12-18,CORONA,EQ,"1,402.90","1,410.00","1,434.00","1,341.00","1,392.00","1,366.40","1,382.65",533166,737182174.9,30032,147317,27.63
2025-12-19,CORONA,EQ,"1,366.40","1,392.00","1,438.70","1,368.10","1,369.50","1,374.30","1,398.22",591914,827628654.7,34997,93931,15.87
2025-12-22,CORONA,EQ,"1,374.30","1,385.00","1,393.00","1,344.50","1,348.00","1,354.50","1,366.60",186082,254300322.8,13078,47617,25.59
2025-12-23,CORONA,EQ,"1,354.50","1,361.00","1,374.30","1,336.60","1,361.00","1,362.60","1,358.43",209038,283963665.1,18505,40982,19.61
2025-12-24,CORONA,EQ,"1,362.60","1,362.00","1,380.80","1,342.00","1,344.90","1,347.70","1,357.99",115809,157267017.7,9435,31741,27.41
2025-12-26,CORONA,EQ,"1,347.70","1,341.00","1,369.90","1,341.00","1,361.00","1,364.70","1,355.41",134534,182349009.5,10936,45836,34.07
2025-12-29,CORONA,EQ,"1,364.70","1,363.00","1,380.00","1,344.50","1,378.00","1,365.40","1,357.72",92232,125225231.7,7204,34117,36.99
2025-12-30,CORONA,EQ,"1,365.40","1,374.00","1,395.00","1,365.40","1,387.00","1,385.10","1,379.58",107110,147766725.9,10696,39658,37.03
2025-12-31,CORONA,EQ,"1,385.10","1,385.10","1,425.90","1,370.00","1,383.00","1,384.90","1,405.00",133095,186998049.3,12067,35927,26.99
2026-01-01,CORONA,EQ,"1,384.90","1,389.30","1,415.00","1,387.90","1,405.00","1,402.40","1,404.37",88994,124980234.8,7054,19160,21.53
2026-01-02,CORONA,EQ,"1,402.40","1,409.40","1,455.00","1,406.00","1,450.70","1,443.50","1,435.53",229326,329203279.3,16706,99603,43.43
2026-01-05,CORONA,EQ,"1,443.50","1,454.30","1,524.00","1,412.90","1,462.60","1,467.10","1,481.19",497437,736796306.1,37330,92462,18.59
2026-01-06,CORONA,EQ,"1,467.10","1,461.30","1,479.10","1,423.10","1,435.00","1,430.40","1,441.49",112790,162585595.0,10601,33720,29.9
2026-01-07,CORONA,EQ,"1,430.40","1,435.40","1,477.00","1,435.40","1,444.80","1,447.50","1,455.93",133654,194590239.9,9635,31540,23.6
2026-01-08,CORONA,EQ,"1,447.50","1,449.00","1,484.80","1,438.50","1,448.00","1,463.00","1,463.14",161642,236504630.7,11554,53272,32.96
2026-01-09,CORONA,EQ,"1,463.00","1,448.00","1,463.20","1,413.70","1,429.90","1,430.10","1,446.78",82838,119848550.6,7330,25738,31.07
