Date,"ï»¿""Symbol""",Series,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
2018-03-28,HAL,EQ,"1,215.00","1,152.00","1,184.95","1,121.00","1,125.00","1,132.85","1,157.72",1692143,1959025833.85,68216,412571.0,24.38
2018-04-02,HAL,EQ,"1,132.85","1,127.70","1,155.00","1,118.00","1,150.00","1,149.25","1,145.25",176365,201981191.65,12274,77328.0,43.85
2018-04-03,HAL,EQ,"1,149.25","1,141.00","1,147.00","1,126.35","1,129.00","1,128.60","1,133.45",57565,65247076.7,5754,31673.0,55.02
2018-04-04,HAL,EQ,"1,128.60","1,130.00","1,140.00","1,115.00","1,115.05","1,115.90","1,125.44",81682,91927934.0,7640,39983.0,48.95
2018-04-05,HAL,EQ,"1,115.90","1,122.00","1,131.25","1,109.50","1,111.00","1,113.95","1,115.98",74994,83691653.7,5954,35317.0,47.09
2018-04-06,HAL,EQ,"1,113.95","1,103.50","1,118.85","1,100.05","1,102.00","1,102.85","1,107.06",73013,80829750.2,5346,38840.0,53.2
2018-04-09,HAL,EQ,"1,102.85","1,100.50","1,112.00","1,100.50","1,103.70","1,104.45","1,105.17",59514,65772838.35,4177,28838.0,48.46
2018-04-10,HAL,EQ,"1,104.45","1,109.80","1,110.00","1,092.05","1,103.90","1,102.30","1,101.37",53653,59091873.65,3808,30558.0,56.95
2018-04-11,HAL,EQ,"1,102.30","1,102.00","1,106.00","1,095.00","1,095.00","1,097.30","1,098.21",39956,43880201.8,3344,21499.0,53.81
2018-04-12,HAL,EQ,"1,097.30","1,096.00","1,098.05","1,080.10","1,083.20","1,086.15","1,088.40",54719,59556401.6,4495,31580.0,57.71
2018-04-13,HAL,EQ,"1,086.15","1,115.00","1,150.00","1,105.10","1,123.00","1,123.05","1,127.88",144882,163408797.45,11323,45628.0,31.49
2018-04-16,HAL,EQ,"1,123.05","1,125.00","1,159.90","1,124.00","1,147.00","1,147.90","1,148.51",135266,155354070.6,8461,62564.0,46.25
2018-04-17,HAL,EQ,"1,147.90","1,157.00","1,164.00","1,142.00","1,142.00","1,146.40","1,155.07",61793,71374956.3,5249,33007.0,53.42
2018-04-18,HAL,EQ,"1,146.40","1,154.00","1,155.00","1,125.00","1,127.00","1,130.00","1,141.56",41959,47898780.8,4082,18931.0,45.12
2018-04-19,HAL,EQ,"1,130.00","1,138.00","1,153.40","1,129.10","1,141.20","1,141.05","1,140.81",50624,57752466.1,3048,21617.0,42.7
2018-04-20,HAL,EQ,"1,141.05","1,141.20","1,145.90","1,118.00","1,121.10","1,125.55","1,133.24",34939,39594112.75,3355,20261.0,57.99
2018-04-23,HAL,EQ,"1,125.55","1,132.00","1,149.00","1,122.35","1,133.00","1,131.30","1,134.10",39907,45258660.2,3278,20978.0,52.57
2018-04-24,HAL,EQ,"1,131.30","1,137.95","1,144.50","1,130.00","1,131.30","1,130.80","1,135.15",30039,34098712.7,2771,14836.0,49.39
2018-04-25,HAL,EQ,"1,130.80","1,131.00","1,145.90","1,122.85","1,124.50","1,125.45","1,132.43",34914,39537691.15,2266,18131.0,51.93
2018-04-26,HAL,EQ,"1,125.45","1,127.00","1,138.00","1,125.00","1,128.60","1,130.45","1,130.28",16390,18525330.5,1538,8283.0,50.54
2018-04-27,HAL,EQ,"1,130.45","1,132.65","1,134.95","1,122.00","1,127.00","1,125.80","1,127.61",16572,18686755.85,1741,8397.0,50.67
2018-04-30,HAL,EQ,"1,125.80","1,134.40","1,134.40","1,119.00","1,119.10","1,124.35","1,125.16",18615,20944840.4,1847,9309.0,50.01
2018-05-02,HAL,EQ,"1,124.35","1,119.00","1,131.95","1,111.25","1,116.90","1,114.25","1,121.00",18861,21143216.95,1696,10155.0,53.84
2018-05-03,HAL,EQ,"1,114.25","1,114.05","1,115.00","1,089.20","1,094.50","1,095.00","1,099.92",19044,20946786.35,1944,13425.0,70.49
2018-05-04,HAL,EQ,"1,095.00","1,105.00","1,105.00","1,090.00","1,091.00","1,093.55","1,097.04",12282,13473830.55,1437,7786.0,63.39
2018-05-07,HAL,EQ,"1,093.55","1,090.50","1,122.05","1,082.05","1,106.00","1,108.15","1,097.02",21116,23164689.5,1866,11477.0,54.35
2018-05-08,HAL,EQ,"1,108.15","1,105.20","1,118.90","1,099.00","1,101.00","1,104.35","1,107.38",12620,13975129.4,1296,7326.0,58.05
2018-05-09,HAL,EQ,"1,104.35","1,100.00","1,103.95","1,090.00","1,091.20","1,093.45","1,096.23",9761,10700278.4,1098,6367.0,65.23
2018-05-10,HAL,EQ,"1,093.45","1,090.00","1,091.85","1,084.00","1,086.50","1,085.55","1,086.43",12712,13810761.45,1358,8145.0,64.07
2018-05-11,HAL,EQ,"1,085.55","1,087.50","1,091.00","1,071.15","1,091.00","1,083.20","1,082.95",16119,17456017.7,1493,11604.0,71.99
2018-05-14,HAL,EQ,"1,083.20","1,082.00","1,087.95","1,064.00","1,065.50","1,066.45","1,069.51",17672,18900422.7,1654,11507.0,65.11
