Date,"ï»¿""Symbol""",Series,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
2016-05-19,M&M,EQ,"1,326.00","1,326.00","1,329.30","1,305.50","1,305.50","1,311.05","1,320.82",655804,866202174.05,12946,482707.0,73.61
2016-05-20,M&M,EQ,"1,311.05","1,312.80","1,322.05","1,288.30","1,296.95","1,293.10","1,310.25",779047,1020743995.25,18111,600830.0,77.12
2016-05-23,M&M,EQ,"1,293.10","1,301.00","1,301.05","1,280.15","1,286.00","1,284.95","1,290.47",366074,472408676.65,15197,141349.0,38.61
2016-05-24,M&M,EQ,"1,284.95","1,271.75","1,302.90","1,259.25","1,289.00","1,294.80","1,288.19",695522,895967608.6,42885,296812.0,42.67
2016-05-25,M&M,EQ,"1,294.80","1,301.90","1,318.00","1,300.00","1,314.00","1,311.75","1,309.66",877614,1149372674.25,17550,565529.0,64.44
2016-05-26,M&M,EQ,"1,311.75","1,317.95","1,349.95","1,306.00","1,337.30","1,339.10","1,331.92",1406410,1873223396.85,54701,1009881.0,71.81
2016-05-27,M&M,EQ,"1,339.10","1,339.00","1,362.00","1,327.55","1,334.00","1,333.70","1,341.36",736776,988278939.25,37409,350616.0,47.59
2016-05-30,M&M,EQ,"1,333.70","1,334.00","1,351.70","1,312.80","1,329.60","1,330.85","1,333.53",2412447,3217063093.55,72987,715088.0,29.64
2016-05-31,M&M,EQ,"1,330.85","1,334.70","1,345.30","1,314.25","1,324.00","1,322.30","1,324.18",1478893,1958316584.65,49885,1068127.0,72.22
2016-06-01,M&M,EQ,"1,322.30","1,329.00","1,349.00","1,326.25","1,333.50","1,333.75","1,337.82",945217,1264528678.45,34649,447706.0,47.37
2016-06-02,M&M,EQ,"1,333.75","1,342.00","1,345.85","1,330.60","1,332.00","1,333.25","1,335.90",761985,1017938234.5,35337,518546.0,68.05
2016-06-03,M&M,EQ,"1,333.25","1,345.00","1,358.60","1,342.75","1,353.00","1,354.20","1,351.85",1688254,2282267959.9,42915,1214951.0,71.96
2016-06-06,M&M,EQ,"1,354.20","1,362.50","1,386.60","1,361.05","1,369.50","1,369.70","1,375.65",1217362,1674665486.55,47351,752028.0,61.78
2016-06-07,M&M,EQ,"1,369.70","1,375.00","1,386.95","1,373.00","1,378.50","1,377.95","1,379.52",1764547,2434221518.05,46567,1411399.0,79.99
2016-06-08,M&M,EQ,"1,377.95","1,379.95","1,398.00","1,379.95","1,383.00","1,386.30","1,387.61",1133281,1572553117.05,39737,793596.0,70.03
2016-06-09,M&M,EQ,"1,386.30","1,383.00","1,393.20","1,365.20","1,367.10","1,373.40","1,382.54",693334,958564386.45,23352,403025.0,58.13
2016-06-10,M&M,EQ,"1,373.40","1,368.75","1,404.90","1,363.55","1,375.20","1,375.85","1,390.49",1417540,1971075901.5,45684,856756.0,60.44
2016-06-13,M&M,EQ,"1,375.85","1,358.25","1,376.50","1,335.25","1,352.00","1,357.35","1,361.39",1190433,1620647270.05,50656,684858.0,57.53
2016-06-14,M&M,EQ,"1,357.35","1,361.00","1,366.85","1,349.10","1,353.50","1,355.60","1,357.32",587453,797359905.2,25209,391607.0,66.66
2016-06-15,M&M,EQ,"1,355.60","1,358.00","1,368.80","1,350.20","1,353.40","1,355.55","1,355.91",682796,925807900.45,18907,489270.0,71.66
2016-06-16,M&M,EQ,"1,355.55","1,357.00","1,364.20","1,339.20","1,342.00","1,343.95","1,345.28",999467,1344563541.5,25791,647558.0,64.79
2016-06-17,M&M,EQ,"1,343.95","1,350.30","1,359.80","1,339.20","1,344.05","1,344.00","1,349.18",965815,1303062640.4,58809,719693.0,74.52
2016-06-20,M&M,EQ,"1,344.00","1,340.05","1,354.00","1,330.05","1,349.15","1,350.85","1,349.58",1072024,1446784880.05,46347,779727.0,72.73
2016-06-21,M&M,EQ,"1,350.85","1,354.80","1,371.60","1,354.80","1,366.00","1,366.85","1,366.51",993252,1357292233.35,28971,607825.0,61.2
2016-06-22,M&M,EQ,"1,366.85","1,365.80","1,380.75","1,349.10","1,358.00","1,359.50","1,366.20",609326,832461275.6,19064,359690.0,59.03
2016-06-23,M&M,EQ,"1,359.50","1,362.85","1,380.05","1,358.50","1,375.00","1,374.75","1,367.21",999417,1366413136.6,56825,714096.0,71.45
2016-06-24,M&M,EQ,"1,374.75","1,338.00","1,397.80","1,315.00","1,383.00","1,388.90","1,353.49",1384474,1873872451.8,53629,653769.0,47.22
2016-06-27,M&M,EQ,"1,388.90","1,395.15","1,401.30","1,378.00","1,388.00","1,391.80","1,391.51",873248,1215133120.2,39710,508851.0,58.27
2016-06-28,M&M,EQ,"1,391.80","1,390.10","1,414.00","1,386.90","1,409.10","1,408.60","1,397.65",1005490,1405320560.35,56614,585610.0,58.24
2016-06-29,M&M,EQ,"1,408.60","1,414.50","1,425.85","1,408.00","1,418.05","1,417.75","1,417.94",1055961,1497293696.45,50741,677315.0,64.14
2016-06-30,M&M,EQ,"1,417.75","1,431.00","1,437.00","1,415.50","1,428.00","1,429.95","1,428.62",2347089,3353097575.05,73585,1686579.0,71.86
2016-07-01,M&M,EQ,"1,429.95","1,433.00","1,474.90","1,432.50","1,461.00","1,463.10","1,451.28",1164931,1690636771.25,41909,520040.0,44.64
2016-07-04,M&M,EQ,"1,463.10","1,472.70","1,477.45","1,452.45","1,463.50","1,465.40","1,464.95",864248,1266081926.55,27700,521909.0,60.39
2016-07-05,M&M,EQ,"1,465.40","1,472.70","1,484.00","1,455.30","1,455.30","1,459.70","1,464.47",485055,710350310.75,21099,218530.0,45.05
2016-07-07,M&M,EQ,"1,459.70","1,455.00","1,469.70","1,450.00","1,454.00","1,456.80","1,459.68",798891,1166122696.85,33892,583731.0,73.07
2016-07-08,M&M,EQ,"1,456.80","1,455.90","1,465.50","1,447.05","1,454.00","1,453.45","1,456.15",714249,1040057006.35,40174,448608.0,62.81
2016-07-11,M&M,EQ,"1,453.45","1,467.95","1,479.60","1,461.00","1,468.50","1,471.95","1,470.72",658300,968177165.5,31700,459245.0,69.76
2016-07-12,M&M,EQ,"1,471.95","1,473.25","1,480.30","1,470.05","1,473.90","1,475.15","1,475.01",470474,693953132.9,37132,300551.0,63.88
2016-07-13,M&M,EQ,"1,475.15","1,474.00","1,480.00","1,460.25","1,461.70","1,464.45","1,470.83",752671,1107053766.8,36621,528291.0,70.19
2016-07-14,M&M,EQ,"1,464.45","1,455.55","1,461.05","1,429.65","1,447.65","1,447.25","1,443.73",916311,1322907620.0,24041,669322.0,73.05
2016-07-15,M&M,EQ,"1,447.25","1,457.90","1,485.20","1,449.10","1,463.00","1,464.80","1,470.93",1260576,1854217414.1,48521,846421.0,67.15
2016-07-18,M&M,EQ,"1,464.80","1,470.00","1,481.70","1,463.50","1,468.00","1,468.70","1,470.84",737252,1084377257.25,33518,485408.0,65.84
2016-07-19,M&M,EQ,"1,468.70","1,468.20","1,475.00","1,443.20","1,462.00","1,456.60","1,453.40",696059,1011650731.75,34752,496077.0,71.27
2016-07-20,M&M,EQ,"1,456.60","1,464.00","1,471.75","1,458.10","1,461.20","1,461.40","1,463.95",722534,1057751154.45,23645,580888.0,80.4
2016-07-21,M&M,EQ,"1,461.40","1,452.00","1,455.90","1,429.05","1,436.10","1,434.85","1,442.78",1245976,1797666317.45,39540,996496.0,79.98
2016-07-22,M&M,EQ,"1,434.85","1,437.00","1,446.65","1,436.60","1,439.00","1,440.55","1,443.06",1016863,1467396233.45,16098,851126.0,83.7
2016-07-25,M&M,EQ,"1,440.55","1,440.00","1,468.40","1,438.25","1,463.50","1,463.65","1,452.32",959806,1393948219.6,27007,725221.0,75.56
2016-07-26,M&M,EQ,"1,463.65","1,468.00","1,469.70","1,444.20","1,446.60","1,448.95","1,463.48",1002274,1466810199.8,29840,718935.0,71.73
2016-07-27,M&M,EQ,"1,448.95","1,450.55","1,463.85","1,436.00","1,450.00","1,453.80","1,452.45",671284,975006151.7,32846,479837.0,71.48
2016-07-28,M&M,EQ,"1,453.80","1,463.00","1,463.00","1,446.15","1,448.05","1,452.50","1,455.54",1529796,2226676571.4,35347,1074571.0,70.24
2016-07-29,M&M,EQ,"1,452.50","1,454.00","1,479.90","1,452.50","1,467.05","1,466.75","1,469.30",1892251,2780277697.7,39029,1498514.0,79.19
2016-08-01,M&M,EQ,"1,466.75","1,472.90","1,493.75","1,456.05","1,472.00","1,470.15","1,477.93",1278011,1888808485.5,29982,795468.0,62.24
2016-08-02,M&M,EQ,"1,470.15","1,480.00","1,488.70","1,451.90","1,454.05","1,457.95","1,472.37",749424,1103429217.2,33130,429180.0,57.27
2016-08-03,M&M,EQ,"1,457.95","1,461.70","1,469.90","1,440.60","1,444.00","1,446.50","1,453.13",672513,977250385.3,21484,398082.0,59.19
2016-08-04,M&M,EQ,"1,446.50","1,459.80","1,464.80","1,431.10","1,439.05","1,435.70","1,442.96",680897,982503818.35,25357,407755.0,59.88
2016-08-05,M&M,EQ,"1,435.70","1,444.50","1,490.00","1,444.00","1,487.10","1,484.00","1,465.34",935388,1370664538.3,27920,623328.0,66.64
2016-08-08,M&M,EQ,"1,484.00","1,495.00","1,505.25","1,473.75","1,495.30","1,497.85","1,492.30",1780007,2656311434.7,40661,1203977.0,67.64
2016-08-09,M&M,EQ,"1,497.85","1,507.00","1,508.95","1,467.90","1,478.65","1,480.75","1,484.97",773418,1148503128.75,23292,441552.0,57.09
2016-08-10,M&M,EQ,"1,480.75","1,489.00","1,494.00","1,435.00","1,446.70","1,449.15","1,460.37",3301028,4820734820.45,91055,1156340.0,35.03
2016-08-11,M&M,EQ,"1,449.15","1,445.20","1,452.70","1,411.00","1,422.00","1,421.60","1,424.52",1672126,2381976354.2,48611,937833.0,56.09
2016-08-12,M&M,EQ,"1,421.60","1,428.00","1,477.00","1,424.05","1,446.65","1,450.85","1,449.41",1924274,2789062210.4,62666,834646.0,43.37
2016-08-16,M&M,EQ,"1,450.85","1,452.25","1,461.35","1,431.35","1,441.00","1,443.65","1,446.99",1508994,2183502344.8,63714,1030927.0,68.32
2016-08-17,M&M,EQ,"1,443.65","1,443.65","1,456.45","1,435.65","1,449.80","1,450.50","1,449.86",590552,856216754.0,35825,356220.0,60.32
2016-08-18,M&M,EQ,"1,450.50","1,456.10","1,467.45","1,452.75","1,457.20","1,460.25","1,462.30",685983,1003115904.9,28639,415108.0,60.51
